ms,Degrees
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,1
14,1
15,1
16,1
17,1
18,1
19,2
20,2
21,2
22,2
23,2
24,3
25,3
26,3
27,4
28,4
29,4
30,4
31,5
32,5
33,5
34,6
35,6
36,6
37,7
38,7
39,7
40,8
41,8
42,9
43,9
44,9
45,10
46,10
47,11
48,11
49,11
50,12
51,12
52,13
53,13
54,14
55,14
56,14
57,15
58,15
59,16
60,16
61,17
62,17
63,18
64,18
65,19
66,19
67,20
68,20
69,21
70,21
71,22
72,22
73,23
74,24
75,24
76,25
77,25
78,26
79,26
80,27
81,27
82,28
83,29
84,29
85,30
86,30
87,31
88,32
89,32
90,33
91,33
92,34
93,35
94,35
95,36
96,36
97,37
98,38
99,38
100,39
101,40
102,40
103,41
104,42
105,42
106,43
107,44
108,44
109,45
110,45
111,46
112,47
113,47
114,48
115,49
116,49
117,50
118,51
119,51
120,52
121,53
122,53
123,54
124,55
125,56
126,56
127,57
128,58
129,58
130,59
131,60
132,60
133,61
134,62
135,62
136,63
137,64
138,64
139,65
140,66
141,67
142,67
143,68
144,69
145,69
146,70
147,71
148,72
149,72
150,73
151,74
152,74
153,75
154,76
155,77
156,77
157,78
158,79
159,79
160,80
161,81
162,82
163,82
164,83
165,84
166,85
167,85
168,86
169,87
170,88
171,88
172,89
173,90
174,90
175,91
176,92
177,93
178,93
179,94
180,95
181,96
182,96
183,97
184,98
185,99
186,99
187,100
188,101
189,102
190,102
191,103
192,104
193,105
194,105
195,106
196,107
197,108
198,108
199,109
200,110
201,111
202,111
203,112
204,113
205,114
206,114
207,115
208,116
209,117
210,117
211,118
212,119
213,120
214,120
215,121
216,122
217,123
218,124
219,124
220,125
221,126
222,127
223,127
224,128
225,129
226,130
227,130
228,131
229,132
230,133
231,133
232,134
233,135
234,136
235,136
236,137
237,138
238,139
239,140
240,140
241,141
242,142
243,143
244,143
245,144
246,145
247,146
248,146
249,147
250,148
251,149
252,150
253,150
254,151
255,152
256,153
257,153
258,154
259,155
260,156
261,156
262,157
263,158
264,159
265,160
266,160
267,161
268,162
269,163
270,163
271,164
272,165
273,166
274,166
275,167
276,168
277,169
278,170
279,170
280,171
281,172
282,173
283,173
284,174
285,175
286,176
287,177
288,177
289,178
290,179
291,180
292,180.5
293,181
294,182
295,183
296,184
297,184
298,185
299,186
300,187
301,187
302,188
303,189
304,190
305,190.5
306,191
307,192
308,193
309,194
310,194
311,195
312,196
313,197
314,198
315,198
316,199
317,200
318,201
319,201
320,202
321,203
322,204
323,205
324,205
325,206
326,207
327,208
328,208
329,209
330,210
331,211
332,212
333,212
334,213
335,214
336,215
337,215
338,216
339,217
340,218
341,219
342,219
343,220
344,221
345,222
346,222
347,223
348,224
349,225
350,226
351,226
352,227
353,228
354,229
355,230
356,230
357,231
358,232
359,233
360,233.5
361,234
362,235
363,236
364,237
365,237
366,238
367,239
368,240
369,240
370,241
371,242
372,243
373,244
374,244
375,245
376,246
377,247
378,248
379,248
380,249
381,250
382,251
383,251.5
384,252
385,253
386,254
387,255
388,255
389,256
390,257
391,258
392,258.5
393,259
394,260
395,261
396,262
397,262
398,263
399,264
400,265
401,266
402,266
403,267
404,268
405,269
406,270
407,270
408,271
409,272
410,273
411,273
412,274
413,275
414,276
415,277
416,277
417,278
418,279
419,280
420,280
421,281
422,282
423,283
424,284
425,284
426,285
427,286
428,287
429,288
430,288
431,289
432,290
433,291
434,291
435,292
436,293
437,294
438,295
439,295
440,296
441,297
442,298
443,298
444,299
445,300
446,301
447,302
448,302
449,303
450,304
451,305
452,306
453,306
454,307
455,308
456,309
457,310
458,310
459,311
460,312
461,313
462,314
463,314
464,315
465,316
466,317
467,317
468,318
469,319
470,320
471,321
472,321
473,322
474,323
475,324
476,325
477,325
478,326
479,327
480,328
481,328
482,329
483,330
484,331
485,332
486,332
487,333
488,334
489,335
490,336
491,336
492,337
493,338
494,339
495,339
496,340
497,341
498,342
499,343
500,343
501,344
502,345
503,346
504,347
505,347
506,348
507,349
508,350
509,350
510,351
511,352
512,353
513,353
514,354
515,354.5
516,355
517,356
518,356
519,357
520,358
521,358
522,359
523,359
524,360
525,360.5
526,361
527,362
